Param hash,Model,Scenario,Region,Damage quantile,SLR quantile,SLR adaptation,Target,Discounting,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
432f5f581,MIMOSA,experiment_1.1_with_mitig,BRA,5,5,with,rcp26,medium,Emissions|CO2,Mt CO2/yr,,,1577.43,976.373,930.936,1022.24,1039.51,700.506,285.583,-59.4004,-231.221,-319.622,-402.645,-517.213,-619.073,-644.886,-659.383,-722.019,-764.345
432f5f581,MIMOSA,experiment_1.1_with_mitig,CAN,5,5,with,rcp26,medium,Emissions|CO2,Mt CO2/yr,,,511.577,335.166,325.851,341.928,327.74,234.374,147.58,84.0676,45.4756,16.4839,-8.24461,-26.3941,-39.1683,-49.8459,-67.7378,-91.0803,-100.441
432f5f581,MIMOSA,experiment_1.1_with_mitig,CEU,5,5,with,rcp26,medium,Emissions|CO2,Mt CO2/yr,,,784.933,542.073,495.166,496.96,488.393,398.651,295.736,199.415,133.423,83.5294,42.5943,12.0435,-10.8514,-29.1754,-53.2851,-79.2172,-84.8466
432f5f581,MIMOSA,experiment_1.1_with_mitig,CHN,5,5,with,rcp26,medium,Emissions|CO2,Mt CO2/yr,,,11391.3,8369.49,8003.4,7868.53,7171.12,4952.48,2698.64,824.045,-268.082,-922.098,-1333.47,-1538.69,-1622.94,-1670.86,-1802.29,-1953.71,-1893.54
432f5f581,MIMOSA,experiment_1.1_with_mitig,EAF,5,5,with,rcp26,medium,Emissions|CO2,Mt CO2/yr,,,283.526,402.178,503.15,515.986,473.533,413.605,366.274,330.017,315.643,318.65,333.662,356.38,374.899,372.7,305.909,174.591,80.5826
432f5f581,MIMOSA,experiment_1.1_with_mitig,INDIA,5,5,with,rcp26,medium,Emissions|CO2,Mt CO2/yr,,,2777.19,2763.44,3109.93,3449.26,3702.78,3598.46,3306.6,2848.71,2463.88,2115.15,1741.72,1373.88,1025.23,676.473,188.74,-350.602,-568.708
432f5f581,MIMOSA,experiment_1.1_with_mitig,INDO,5,5,with,rcp26,medium,Emissions|CO2,Mt CO2/yr,,,1635.06,1345.57,1324.73,1353.12,1310.51,1060.42,794.422,571.055,420.726,303.501,198.294,109.308,35.0623,-32.792,-122.523,-218.672,-255.306
432f5f581,MIMOSA,experiment_1.1_with_mitig,JAP,5,5,with,rcp26,medium,Emissions|CO2,Mt CO2/yr,,,1064.62,633.261,559.848,541.325,503.415,370.005,231.974,108.023,28.6179,-25.2678,-64.9401,-91.0401,-109.392,-126.552,-153.681,-182.532,-186.547
432f5f581,MIMOSA,experiment_1.1_with_mitig,KOR,5,5,with,rcp26,medium,Emissions|CO2,Mt CO2/yr,,,784.572,565.013,540.761,528.063,481.063,353.084,227.264,121.945,58.6233,18.6106,-9.49096,-27.6168,-39.2259,-47.7915,-60.4566,-73.4181,-72.35
432f5f581,MIMOSA,experiment_1.1_with_mitig,ME,5,5,with,rcp26,medium,Emissions|CO2,Mt CO2/yr,,,2006.27,1636.51,1653.09,1766.11,1834.64,1671.52,1454.45,1240.61,1098.84,989.09,890.35,810.581,747.312,690.617,590.249,465.374,436.873
432f5f581,MIMOSA,experiment_1.1_with_mitig,MEX,5,5,with,rcp26,medium,Emissions|CO2,Mt CO2/yr,,,572.878,416.245,412.969,443.043,449.705,363.563,258.636,159.276,88.8648,32.9763,-17.7673,-60.9974,-98.1235,-133.439,-182.602,-240.745,-270.808
432f5f581,MIMOSA,experiment_1.1_with_mitig,NAF,5,5,with,rcp26,medium,Emissions|CO2,Mt CO2/yr,,,583.268,558.293,594.125,624.947,627.709,574.894,523.398,490.441,479.353,471.728,457.871,439.551,422.016,407.24,380.65,347.541,346.215
432f5f581,MIMOSA,experiment_1.1_with_mitig,OCE,5,5,with,rcp26,medium,Emissions|CO2,Mt CO2/yr,,,388.396,210.493,188.105,211.482,224.544,152.532,61.6838,-12.9555,-53.5461,-88.0332,-120.221,-135.651,-142.122,-155.854,-182.33,-210.771,-222.17
432f5f581,MIMOSA,experiment_1.1_with_mitig,R5.2ASIA,5,5,with,rcp26,medium,Emissions|CO2,Mt CO2/yr,,,19614.70825,15582.77816,15675.71115,16073.22849,15566.72855,12532.46758,9235.42657,6257.64617,4360.40998,3022.33581,1938.17348,1123.7628,472.98239,-157.82116,-1142.86632,-2269.93807,-2601.22709
432f5f581,MIMOSA,experiment_1.1_with_mitig,R5.2LAM,5,5,with,rcp26,medium,Emissions|CO2,Mt CO2/yr,,,3835.12583,2591.37769,2506.75202,2616.86114,2598.6868,1925.17386,1027.91914,176.85128,-322.26233,-667.23539,-1003.07643,-1350.02128,-1653.12518,-1848.83441,-2080.21044,-2397.9302,-2572.59237
432f5f581,MIMOSA,experiment_1.1_with_mitig,R5.2MAF,5,5,with,rcp26,medium,Emissions|CO2,Mt CO2/yr,,,5983.10126,5900.87733,6394.88164,6574.22538,6395.33113,5671.96925,4733.08855,3706.57611,3086.78321,2847.398,2712.8164,2551.5273,2319.83631,1972.01177,1294.56922,343.03216,-261.21151
432f5f581,MIMOSA,experiment_1.1_with_mitig,R5.2OECD,5,5,with,rcp26,medium,Emissions|CO2,Mt CO2/yr,,,10614.24863,6664.0652,6019.96856,5952.7016,5706.68368,4433.68049,3073.64811,1846.61457,1069.59631,519.26894,85.0564,-215.89496,-440.56613,-656.17241,-1005.97193,-1397.40517,-1456.77775
432f5f581,MIMOSA,experiment_1.1_with_mitig,R5.2REF,5,5,with,rcp26,medium,Emissions|CO2,Mt CO2/yr,,,2767.205,2269.52,2252.345,2278.797,2191.796,1824.757,1453.111,1150.975,962.582,820.667,706.2848,630.4006,574.8051,519.3149,432.7116,340.11111,323.32825
432f5f581,MIMOSA,experiment_1.1_with_mitig,RCAM,5,5,with,rcp26,medium,Emissions|CO2,Mt CO2/yr,,,302.334,244.706,246.883,256.386,261.876,240.021,208.568,166.416,127.273,87.0684,43.6733,1.13031,-40.5258,-83.8942,-141.851,-206.631,-242.653
432f5f581,MIMOSA,experiment_1.1_with_mitig,RSAF,5,5,with,rcp26,medium,Emissions|CO2,Mt CO2/yr,,,786.528,624.733,671.332,963.162,1185.87,1026.97,744.313,553.546,477.962,477.13,506.7,537.624,550.53,535.238,478.667,392.136,345.221
432f5f581,MIMOSA,experiment_1.1_with_mitig,RSAM,5,5,with,rcp26,medium,Emissions|CO2,Mt CO2/yr,,,1383.48,954.847,916.751,895.998,848.407,621.816,275.76,-88.945,-306.804,-467.405,-626.212,-772.938,-895.516,-986.847,-1096.76,-1229.09,-1295.43
432f5f581,MIMOSA,experiment_1.1_with_mitig,RSAS,5,5,with,rcp26,medium,Emissions|CO2,Mt CO2/yr,,,417.044,464.606,562.346,665.788,763.179,815.157,853.256,877.233,900.828,908.044,898.552,883.68,859.88,817.448,710.114,548.555,468.032
