Param hash,Model,Scenario,Region,Damage quantile,SLR quantile,SLR adaptation,Target,Discounting,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
3a6d1e122,MIMOSA,baseline,BRA,nodamage,nodamage,nodamage,baseline,,Emissions|CO2,Mt CO2/yr,,,1577.43,1617.34,1711.52,1925.4,2152.07,2261.23,2204.85,1983.2,1707.47,1506.37,1467.44,1609.74,1720.49,1615.1,1452.47,1416.49,1449.04,1456.56,1445.56,1441.05,1441.43,1440.18,1437.8,1436.11,1435.01,1434.01,1433.11
3a6d1e122,MIMOSA,baseline,CAN,nodamage,nodamage,nodamage,baseline,,Emissions|CO2,Mt CO2/yr,,,511.577,519.955,545.712,579.719,593.198,567.308,542.573,559.688,600.336,634.995,648.779,635.355,607.639,582.741,575.127,593.059,622.778,648.742,670.275,689.85,707.419,722.414,734.878,744.996,752.898,758.575,761.557
3a6d1e122,MIMOSA,baseline,CEU,nodamage,nodamage,nodamage,baseline,,Emissions|CO2,Mt CO2/yr,,,784.933,761.251,744.534,762.621,796.029,820.394,839.907,861.867,878.228,879.975,869.836,851.702,821.507,778.067,740.135,724.36,719.121,709.804,698.052,688.431,680.693,673.671,667.481,662.462,658.552,655.653,653.94
3a6d1e122,MIMOSA,baseline,CHN,nodamage,nodamage,nodamage,baseline,,Emissions|CO2,Mt CO2/yr,,,11391.3,12600.8,13321.2,13551.5,13482.3,13267.0,12902.4,12366.6,11691.1,10909.4,10035.7,9103.22,8229.36,7527.87,7016.65,6670.6,6387.47,6075.58,5762.26,5492.68,5263.31,5061.87,4889.6,4749.93,4641.09,4561.85,4518.08
3a6d1e122,MIMOSA,baseline,EAF,nodamage,nodamage,nodamage,baseline,,Emissions|CO2,Mt CO2/yr,,,283.526,469.212,607.725,634.056,603.113,586.041,594.138,626.463,693.729,810.305,994.282,1259.87,1602.72,2003.03,2397.05,2731.7,3039.0,3357.22,3661.24,3920.14,4139.6,4330.26,4491.57,4621.3,4721.47,4793.13,4829.79
3a6d1e122,MIMOSA,baseline,INDIA,nodamage,nodamage,nodamage,baseline,,Emissions|CO2,Mt CO2/yr,,,2777.19,3474.23,4115.57,4662.26,5253.43,6018.6,6882.82,7745.6,8604.53,9455.0,10188.2,10715.1,11122.4,11502.9,11806.1,11979.5,12100.8,12251.6,12409.1,12537.3,12641.7,12733.2,12811.2,12873.0,12919.9,12952.6,12967.2
3a6d1e122,MIMOSA,baseline,INDO,nodamage,nodamage,nodamage,baseline,,Emissions|CO2,Mt CO2/yr,,,1635.06,1741.08,1822.32,1910.1,1959.81,1932.76,1899.17,1931.69,2008.24,2086.05,2132.44,2130.64,2116.86,2128.2,2154.26,2177.67,2199.42,2223.24,2246.35,2265.63,2281.71,2295.66,2307.41,2316.74,2323.85,2328.82,2331.04
3a6d1e122,MIMOSA,baseline,JAP,nodamage,nodamage,nodamage,baseline,,Emissions|CO2,Mt CO2/yr,,,1064.62,1010.39,969.801,948.723,944.726,952.981,969.067,987.315,996.262,985.993,958.505,920.636,886.449,867.372,857.172,847.128,836.236,825.352,815.078,805.876,797.768,790.671,784.622,779.668,775.767,772.901,771.254
3a6d1e122,MIMOSA,baseline,KOR,nodamage,nodamage,nodamage,baseline,,Emissions|CO2,Mt CO2/yr,,,784.572,836.902,866.968,864.12,842.869,819.431,794.942,767.299,736.47,702.478,663.566,619.018,574.205,535.287,505.405,485.322,469.182,451.271,433.174,417.607,404.372,392.736,382.777,374.699,368.402,363.812,361.263
3a6d1e122,MIMOSA,baseline,ME,nodamage,nodamage,nodamage,baseline,,Emissions|CO2,Mt CO2/yr,,,2006.27,2124.58,2249.1,2431.72,2629.16,2792.61,2948.72,3128.26,3306.52,3452.96,3569.94,3672.33,3790.24,3944.67,4106.49,4245.06,4373.38,4508.18,4637.74,4747.98,4841.23,4922.16,4990.54,5045.42,5087.71,5117.88,5133.1
