Param hash,Model,Scenario,Region,Damage quantile,SLR quantile,SLR adaptation,Target,Discounting,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
3a6d1e122,MIMOSA,baseline,MEX,nodamage,nodamage,nodamage,baseline,,Emissions|CO2,Mt CO2/yr,,,572.878,590.963,625.281,680.991,732.812,757.47,771.418,796.066,832.576,875.32,911.756,931.586,940.375,947.972,965.413,999.965,1042.84,1083.37,1119.38,1150.98,1178.5,1202.15,1221.94,1237.9,1250.27,1259.1,1263.6
3a6d1e122,MIMOSA,baseline,NAF,nodamage,nodamage,nodamage,baseline,,Emissions|CO2,Mt CO2/yr,,,583.268,664.82,732.687,780.242,808.522,825.051,858.896,934.096,1033.74,1132.99,1216.02,1275.23,1326.04,1385.12,1452.13,1523.21,1597.0,1671.75,1741.93,1802.73,1854.99,1900.29,1938.54,1969.39,1993.3,2010.47,2019.42
3a6d1e122,MIMOSA,baseline,OCE,nodamage,nodamage,nodamage,baseline,,Emissions|CO2,Mt CO2/yr,,,388.396,370.826,368.554,421.271,491.187,529.778,523.765,480.74,456.047,491.807,529.786,511.596,478.588,480.695,502.796,520.032,533.446,548.691,564.146,577.172,588.062,597.593,605.712,612.233,617.265,620.883,622.767
3a6d1e122,MIMOSA,baseline,R5.2ASIA,nodamage,nodamage,nodamage,baseline,,Emissions|CO2,Mt CO2/yr,,,19614.70825,22075.72277,23925.24008,25070.77775,25836.78817,26541.95073,27277.40918,28055.876,28775.71526,29313.97293,29602.73156,29634.9206,29572.25626,29591.17464,29768.12041,30126.20931,30572.39899,31001.32568,31380.99962,31706.04233,31984.5363,32222.51453,32420.3887,32578.01806,32698.46749,32782.34972,32819.93257
3a6d1e122,MIMOSA,baseline,R5.2LAM,nodamage,nodamage,nodamage,baseline,,Emissions|CO2,Mt CO2/yr,,,3835.12583,4081.14643,4330.36248,4628.22269,5008.70681,5443.39198,5672.05134,5496.57258,5197.61662,5103.52296,5256.20596,5579.53863,5811.23049,5749.14806,5616.52469,5660.46064,5800.67579,5907.68892,5982.7472,6053.44937,6119.33357,6174.08654,6218.28845,6254.00991,6281.73028,6301.04927,6309.86896
3a6d1e122,MIMOSA,baseline,R5.2MAF,nodamage,nodamage,nodamage,baseline,,Emissions|CO2,Mt CO2/yr,,,5983.10126,7340.18516,8300.53415,8657.754,8760.62818,8953.68118,9012.97354,8757.21554,8739.54785,9499.33534,10800.02803,12282.59193,13864.05618,15522.77125,17202.78653,18856.41292,20507.99064,22171.49221,23728.29741,25065.37346,26207.76943,27197.37416,28032.2238,28704.26093,29223.80071,29595.40276,29785.55885
3a6d1e122,MIMOSA,baseline,R5.2OECD,nodamage,nodamage,nodamage,baseline,,Emissions|CO2,Mt CO2/yr,,,10614.24863,10258.06904,9995.82259,10012.8811,10236.52435,10544.71361,10887.62305,11228.48621,11511.83585,11692.78141,11789.62437,11835.36881,11853.68262,11872.64005,11949.39942,12125.52603,12350.6103,12563.20047,12751.44703,12916.94499,13061.29035,13185.23577,13288.88968,13372.46814,13437.29108,13483.68065,13507.43257
3a6d1e122,MIMOSA,baseline,R5.2REF,nodamage,nodamage,nodamage,baseline,,Emissions|CO2,Mt CO2/yr,,,2767.205,2935.323,3075.041,3166.287,3188.682,3141.151,3099.378,3128.551,3188.536,3225.309,3231.089,3213.107,3188.135,3169.536,3150.343,3121.862,3088.544,3056.696,3027.229,3000.129,2975.803,2954.511,2936.348,2921.355,2909.441,2900.564,2895.161
3a6d1e122,MIMOSA,baseline,RCAM,nodamage,nodamage,nodamage,baseline,,Emissions|CO2,Mt CO2/yr,,,302.334,321.285,343.045,362.792,390.354,436.684,503.148,586.422,673.937,753.072,820.316,875.656,923.794,969.254,1011.12,1048.19,1083.6,1120.12,1154.7,1184.04,1208.85,1230.35,1248.48,1263.01,1274.18,1282.1,1285.99
3a6d1e122,MIMOSA,baseline,RSAF,nodamage,nodamage,nodamage,baseline,,Emissions|CO2,Mt CO2/yr,,,786.528,730.453,808.62,1174.19,1489.75,1419.77,1158.32,984.184,957.516,1072.92,1286.97,1547.33,1804.67,2026.57,2242.26,2484.38,2741.22,2992.69,3223.09,3421.76,3592.38,3739.84,3863.95,3963.9,4041.18,4096.32,4124.23
3a6d1e122,MIMOSA,baseline,RSAM,nodamage,nodamage,nodamage,baseline,,Emissions|CO2,Mt CO2/yr,,,1383.48,1552.6,1651.61,1660.18,1734.68,1989.34,2194.15,2132.63,1985.62,1970.95,2059.05,2165.03,2229.15,2219.5,2190.27,2198.63,2228.07,2250.61,2266.17,2280.52,2293.76,2304.67,2313.38,2320.34,2325.65,2329.24,2330.58
3a6d1e122,MIMOSA,baseline,RSAS,nodamage,nodamage,nodamage,baseline,,Emissions|CO2,Mt CO2/yr,,,417.044,549.174,688.38,827.199,981.095,1169.63,1406.69,1696.41,2009.52,2318.7,2637.65,2984.95,3357.57,3749.62,4163.96,4602.48,5056.15,5509.96,5932.66,6298.0,6611.55,6882.96,7111.76,7296.19,7439.01,7541.39,7594.42
3a6d1e122,MIMOSA,baseline,RUS,nodamage,nodamage,nodamage,baseline,,Emissions|CO2,Mt CO2/yr,,,1878.2,1999.82,2092.23,2129.18,2122.25,2092.87,2063.19,2052.0,2072.09,2120.18,2132.7,2061.21,1975.15,1946.54,1942.61,1917.86,1880.22,1846.78,1818.05,1791.35,1767.08,1746.09,1728.4,1713.85,1702.33,1693.85,1688.92
3a6d1e122,MIMOSA,baseline,SAF,nodamage,nodamage,nodamage,baseline,,Emissions|CO2,Mt CO2/yr,,,507.151,556.463,581.453,588.94,604.577,648.77,703.713,746.607,772.763,783.231,783.918,781.255,778.813,778.772,780.751,783.873,787.664,791.644,795.288,798.295,800.796,802.933,804.702,806.085,807.118,807.811,808.043
3a6d1e122,MIMOSA,baseline,SEAS,nodamage,nodamage,nodamage,baseline,,Emissions|CO2,Mt CO2/yr,,,1514.17,1834.17,2112.54,2274.72,2335.63,2342.4,2384.36,2526.83,2697.9,2822.81,2951.15,3127.59,3254.26,3249.01,3232.55,3330.6,3489.49,3629.71,3746.79,3852.54,3947.03,4027.72,4094.81,4149.17,4191.51,4221.81,4237.39
3a6d1e122,MIMOSA,baseline,STAN,nodamage,nodamage,nodamage,baseline,,Emissions|CO2,Mt CO2/yr,,,485.141,531.112,562.823,571.103,556.311,526.748,513.113,536.541,561.057,555.757,565.759,631.899,701.527,718.672,706.964,701.076,700.523,697.999,694.072,690.822,688.219,685.782,683.572,681.745,680.292,679.168,678.398
3a6d1e122,MIMOSA,baseline,TUR,nodamage,nodamage,nodamage,baseline,,Emissions|CO2,Mt CO2/yr,,,435.783,494.793,533.934,546.629,550.073,563.415,590.432,628.826,667.276,695.252,714.401,729.399,744.738,762.158,772.757,768.879,758.301,750.187,744.119,737.991,732.081,727.03,722.817,719.298,716.463,714.341,713.012
3a6d1e122,MIMOSA,baseline,UKR,nodamage,nodamage,nodamage,baseline,,Emissions|CO2,Mt CO2/yr,,,403.864,404.391,419.988,466.004,510.121,521.533,523.075,540.01,555.389,549.372,532.63,519.998,511.458,504.324,500.769,502.926,507.801,511.917,515.107,517.957,520.504,522.639,524.376,525.76,526.819,527.546,527.843
3a6d1e122,MIMOSA,baseline,USA,nodamage,nodamage,nodamage,baseline,,Emissions|CO2,Mt CO2/yr,,,5393.82,5163.96,4972.23,4930.32,4992.08,5080.66,5162.17,5216.05,5232.19,5207.91,5160.44,5116.45,5118.19,5192.82,5292.74,5367.38,5428.69,5497.16,5565.7,5623.72,5672.44,5715.0,5751.2,5780.32,5802.85,5819.12,5827.71
3a6d1e122,MIMOSA,baseline,WAF,nodamage,nodamage,nodamage,baseline,,Emissions|CO2,Mt CO2/yr,,,1817.0,2795.58,3321.97,3049.48,2626.21,2682.11,2749.83,2338.12,1975.69,2247.37,2949.45,3747.25,4562.36,5385.51,6225.12,7089.32,7970.98,8851.4,9670.53,10376.1,10980.5,11503.7,11944.8,12300.1,12575.0,12771.8,12873.0
3a6d1e122,MIMOSA,baseline,WEU,nodamage,nodamage,nodamage,baseline,,Emissions|CO2,Mt CO2/yr,,,3131.74,2977.4,2860.39,2805.64,2852.18,3023.62,3267.96,3516.51,3710.4,3817.35,3902.9,4025.57,4115.02,4107.91,4098.73,4185.61,4322.84,4444.17,4545.71,4637.18,4718.7,4788.25,4846.05,4892.83,4929.26,4955.34,4968.8
3a6d1e122,MIMOSA,baseline,World,nodamage,nodamage,nodamage,baseline,,Emissions|CO2,Mt CO2/yr,,,42817.275,46693.55,49630.185,51539.1,53034.537,54628.204,55952.817,56670.024,57416.596,58838.517,60683.584,62549.61,64293.573,65909.684,67691.799,69895.3,72325.262,74705.707,76876.271,78747.701,80354.674,81739.819,82902.367,83836.446,84557.146,85069.52,85324.457
3a6d1e122,MIMOSA,baseline,BRA,nodamage,nodamage,nodamage,baseline,,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3a6d1e122,MIMOSA,baseline,CAN,nodamage,nodamage,nodamage,baseline,,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3a6d1e122,MIMOSA,baseline,CEU,nodamage,nodamage,nodamage,baseline,,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3a6d1e122,MIMOSA,baseline,CHN,nodamage,nodamage,nodamage,baseline,,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3a6d1e122,MIMOSA,baseline,EAF,nodamage,nodamage,nodamage,baseline,,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3a6d1e122,MIMOSA,baseline,INDIA,nodamage,nodamage,nodamage,baseline,,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3a6d1e122,MIMOSA,baseline,INDO,nodamage,nodamage,nodamage,baseline,,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3a6d1e122,MIMOSA,baseline,JAP,nodamage,nodamage,nodamage,baseline,,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3a6d1e122,MIMOSA,baseline,KOR,nodamage,nodamage,nodamage,baseline,,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3a6d1e122,MIMOSA,baseline,ME,nodamage,nodamage,nodamage,baseline,,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3a6d1e122,MIMOSA,baseline,MEX,nodamage,nodamage,nodamage,baseline,,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3a6d1e122,MIMOSA,baseline,NAF,nodamage,nodamage,nodamage,baseline,,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3a6d1e122,MIMOSA,baseline,OCE,nodamage,nodamage,nodamage,baseline,,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3a6d1e122,MIMOSA,baseline,R5.2ASIA,nodamage,nodamage,nodamage,baseline,,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3a6d1e122,MIMOSA,baseline,R5.2LAM,nodamage,nodamage,nodamage,baseline,,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3a6d1e122,MIMOSA,baseline,R5.2MAF,nodamage,nodamage,nodamage,baseline,,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3a6d1e122,MIMOSA,baseline,R5.2OECD,nodamage,nodamage,nodamage,baseline,,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3a6d1e122,MIMOSA,baseline,R5.2REF,nodamage,nodamage,nodamage,baseline,,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3a6d1e122,MIMOSA,baseline,RCAM,nodamage,nodamage,nodamage,baseline,,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3a6d1e122,MIMOSA,baseline,RSAF,nodamage,nodamage,nodamage,baseline,,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3a6d1e122,MIMOSA,baseline,RSAM,nodamage,nodamage,nodamage,baseline,,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3a6d1e122,MIMOSA,baseline,RSAS,nodamage,nodamage,nodamage,baseline,,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3a6d1e122,MIMOSA,baseline,RUS,nodamage,nodamage,nodamage,baseline,,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3a6d1e122,MIMOSA,baseline,SAF,nodamage,nodamage,nodamage,baseline,,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3a6d1e122,MIMOSA,baseline,SEAS,nodamage,nodamage,nodamage,baseline,,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3a6d1e122,MIMOSA,baseline,STAN,nodamage,nodamage,nodamage,baseline,,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3a6d1e122,MIMOSA,baseline,TUR,nodamage,nodamage,nodamage,baseline,,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3a6d1e122,MIMOSA,baseline,UKR,nodamage,nodamage,nodamage,baseline,,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3a6d1e122,MIMOSA,baseline,USA,nodamage,nodamage,nodamage,baseline,,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3a6d1e122,MIMOSA,baseline,WAF,nodamage,nodamage,nodamage,baseline,,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3a6d1e122,MIMOSA,baseline,WEU,nodamage,nodamage,nodamage,baseline,,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3a6d1e122,MIMOSA,baseline,World,nodamage,nodamage,nodamage,baseline,,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3a6d1e122,MIMOSA,baseline,BRA,nodamage,nodamage,nodamage,baseline,,Damage Cost|SLR|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3a6d1e122,MIMOSA,baseline,CAN,nodamage,nodamage,nodamage,baseline,,Damage Cost|SLR|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3a6d1e122,MIMOSA,baseline,CEU,nodamage,nodamage,nodamage,baseline,,Damage Cost|SLR|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3a6d1e122,MIMOSA,baseline,CHN,nodamage,nodamage,nodamage,baseline,,Damage Cost|SLR|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3a6d1e122,MIMOSA,baseline,EAF,nodamage,nodamage,nodamage,baseline,,Damage Cost|SLR|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3a6d1e122,MIMOSA,baseline,INDIA,nodamage,nodamage,nodamage,baseline,,Damage Cost|SLR|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3a6d1e122,MIMOSA,baseline,INDO,nodamage,nodamage,nodamage,baseline,,Damage Cost|SLR|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3a6d1e122,MIMOSA,baseline,JAP,nodamage,nodamage,nodamage,baseline,,Damage Cost|SLR|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3a6d1e122,MIMOSA,baseline,KOR,nodamage,nodamage,nodamage,baseline,,Damage Cost|SLR|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
