Param hash,Model,Scenario,Region,Damage quantile,SLR quantile,SLR adaptation,Target,Discounting,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
05a973a15,MIMOSA,experiment_1.1_with_mitig,BRA,5,5,with,rcp26,medium,Emissions|CO2,Mt CO2/yr,,,1577.43,976.2729999999999,930.7189999999999,1021.86,1038.9299999999998,699.871,285.00199999999995,-59.8804,-231.896,-319.758,-403.03499999999997,-517.7239999999999,-619.768,-645.7310000000001,-660.351,-723.212,-765.8779999999999
05a973a15,MIMOSA,experiment_1.1_with_mitig,CAN,5,5,with,rcp26,medium,Emissions|CO2,Mt CO2/yr,,,511.57699999999994,335.149,325.819,341.87800000000004,327.678,234.313,147.524,84.0085,45.3333,16.4879,-8.33457,-26.511799999999997,-39.325199999999995,-50.0559,-68.02759999999999,-91.488,-100.979
05a973a15,MIMOSA,experiment_1.1_with_mitig,CEU,5,5,with,rcp26,medium,Emissions|CO2,Mt CO2/yr,,,784.933,542.04,495.09799999999996,496.844,488.22900000000004,398.502,295.653,199.447,133.478,83.9381,43.0379,12.6102,-10.1876,-28.44,-52.456500000000005,-78.26660000000001,-83.8317
05a973a15,MIMOSA,experiment_1.1_with_mitig,CHN,5,5,with,rcp26,medium,Emissions|CO2,Mt CO2/yr,,,11391.3,8369.61,8003.47,7868.48,7170.8,4951.240000000001,2695.89,819.371,-276.161,-928.712,-1343.1100000000001,-1549.75,-1635.3200000000002,-1684.6699999999998,-1818.02,-1971.77,-1913.3700000000001
05a973a15,MIMOSA,experiment_1.1_with_mitig,EAF,5,5,with,rcp26,medium,Emissions|CO2,Mt CO2/yr,,,283.526,402.12199999999996,502.99799999999993,515.735,473.21000000000004,413.259,365.93199999999996,329.717,315.351,318.595,333.766,356.883,376.07,374.91799999999995,309.836,180.867,88.9944
05a973a15,MIMOSA,experiment_1.1_with_mitig,INDIA,5,5,with,rcp26,medium,Emissions|CO2,Mt CO2/yr,,,2777.19,2763.5,3110.05,3449.43,3703.05,3599.0099999999998,3307.5800000000004,2850.23,2465.11,2119.05,1745.25,1377.8300000000002,1029.29,680.312,192.031,-348.24,-567.596
05a973a15,MIMOSA,experiment_1.1_with_mitig,INDO,5,5,with,rcp26,medium,Emissions|CO2,Mt CO2/yr,,,1635.06,1346.06,1325.78,1354.79,1312.73,1062.6100000000001,796.138,571.8689999999999,420.26000000000005,302.268,195.314,104.699,28.6774,-41.285500000000006,-133.911,-233.54500000000002,-273.026
05a973a15,MIMOSA,experiment_1.1_with_mitig,JAP,5,5,with,rcp26,medium,Emissions|CO2,Mt CO2/yr,,,1064.62,633.227,559.7860000000001,541.237,503.305,369.884,231.835,107.85300000000001,28.2793,-25.3841,-65.2311,-91.39569999999999,-109.833,-127.107,-154.391,-183.429,-187.619
05a973a15,MIMOSA,experiment_1.1_with_mitig,KOR,5,5,with,rcp26,medium,Emissions|CO2,Mt CO2/yr,,,784.572,565.013,540.76,528.064,481.06300000000005,353.069,227.218,121.849,58.3877,18.5107,-9.72636,-27.9082,-39.579499999999996,-48.2159,-60.9747,-74.04910000000001,-73.06880000000001
05a973a15,MIMOSA,experiment_1.1_with_mitig,ME,5,5,with,rcp26,medium,Emissions|CO2,Mt CO2/yr,,,2006.2700000000002,1636.63,1653.3899999999999,1766.6299999999999,1835.42,1672.54,1455.67,1241.97,1100.05,991.168,892.199,812.473,749.155,692.276,591.3969999999999,465.696,436.575
