Param hash,Model,Scenario,Region,Damage quantile,SLR quantile,SLR adaptation,Target,Discounting,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
ebb7934d2,MIMOSA,experiment_2.2,STAN,5,5,with,cba,low,Emissions|CO2,Mt CO2/yr,,,485.141,420.125,428.262,421.261,399.505,369.583,352.599,361.598,371.105,360.905,360.895,396.278,433.113,437.654,425.492,417.822,414.273
ebb7934d2,MIMOSA,experiment_2.2,TUR,5,5,with,cba,low,Emissions|CO2,Mt CO2/yr,,,435.783,355.915,367.326,362.856,353.322,350.606,356.203,367.977,379.04,383.75,383.627,381.629,380.307,380.649,378.511,370.635,361.003
ebb7934d2,MIMOSA,experiment_2.2,UKR,5,5,with,cba,low,Emissions|CO2,Mt CO2/yr,,,403.864,302.898,287.519,305.406,320.968,315.988,305.644,304.287,301.708,287.736,269.345,254.563,243.01,233.118,225.855,222.114,220.423
ebb7934d2,MIMOSA,experiment_2.2,USA,5,5,with,cba,low,Emissions|CO2,Mt CO2/yr,,,5393.82,4045.37,2696.91,2286.92,2209.59,2157.03,2111.45,2063.8,2009.62,1947.32,1884.26,1830.84,1801.27,1803.96,1822.92,1842.24,1867.35
ebb7934d2,MIMOSA,experiment_2.2,WAF,5,5,with,cba,low,Emissions|CO2,Mt CO2/yr,,,1817.0,2187.56,2489.54,2198.56,1819.88,1781.11,1744.18,1412.04,1132.05,1217.1,1504.76,1796.55,2052.76,2273.17,2464.96,2637.18,2804.06
ebb7934d2,MIMOSA,experiment_2.2,WEU,5,5,with,cba,low,Emissions|CO2,Mt CO2/yr,,,3131.74,2348.8,1760.33,1663.99,1634.84,1676.87,1754.93,1830.04,1872.78,1870.15,1858.26,1866.41,1862.3,1819.48,1781.37,1789.84,1825.5
ebb7934d2,MIMOSA,experiment_2.2,World,5,5,with,cba,low,Emissions|CO2,Mt CO2/yr,,,42817.275,34281.621,30735.497,30118.008,29624.672,29211.327,28762.198,28119.107,27652.565,27571.956,27680.062,27772.184,27806.632,27812.231,27889.038,28112.163,28466.649
ebb7934d2,MIMOSA,experiment_2.2,BRA,5,5,with,cba,low,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,-0.00325,-0.0064,-0.00973,-0.01322,-0.01689,-0.02071,-0.02465,-0.02873,-0.03298,-0.03746,-0.04215,-0.04705,-0.05215,-0.05746,-0.06303,-0.06889
ebb7934d2,MIMOSA,experiment_2.2,CAN,5,5,with,cba,low,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.00066,0.00133,0.00203,0.00277,0.00354,0.00435,0.00518,0.00604,0.00694,0.00787,0.00884,0.00984,0.01088,0.01196,0.01307,0.01423
ebb7934d2,MIMOSA,experiment_2.2,CEU,5,5,with,cba,low,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,0.0,0.00036,0.00073,0.00111,0.0015,0.00191,0.00233,0.00277,0.00321,0.00367,0.00416,0.00468,0.00521,0.00578,0.00636,0.00698,0.00763
ebb7934d2,MIMOSA,experiment_2.2,CHN,5,5,with,cba,low,Damage Cost|Percentage of GDP,Relative (between 0 and 1),,,-0.0,-0.00019,-0.00028,-0.00035,-0.00039,-0.0004,-0.00038,-0.00033,-0.00026,-0.00017,-7e-05,5e-05,0.00018,0.00033,0.0005,0.00067,0.00085
