Param hash,Model,Scenario,Region,Damage quantile,SLR quantile,SLR adaptation,Target,Discounting,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
ebb7934d2,MIMOSA,experiment_2.2,BRA,5,5,with,cba,low,Emissions|CO2,Mt CO2/yr,,,1577.43,1183.07,815.774,847.892,878.61,855.924,772.616,641.684,508.572,411.393,365.062,361.69,347.302,292.663,236.064,206.353,189.824,248.23,248.23,248.229,248.229,248.229,248.229,248.229,248.229,248.229,248.229
ebb7934d2,MIMOSA,experiment_2.2,CAN,5,5,with,cba,low,Emissions|CO2,Mt CO2/yr,,,511.577,383.683,294.977,298.551,292.533,269.187,248.501,247.795,257.041,262.855,259.847,246.736,229.393,214.434,206.725,208.658,215.434,277.398,277.398,277.398,277.398,277.398,277.397,277.397,277.397,277.397,277.397
ebb7934d2,MIMOSA,experiment_2.2,CEU,5,5,with,cba,low,Emissions|CO2,Mt CO2/yr,,,784.933,588.7,459.133,447.533,446.298,440.913,433.735,428.204,419.899,404.68,385.039,363.814,339.743,312.703,290.149,278.019,271.336,280.988,280.987,280.987,280.987,280.987,280.987,280.986,280.986,280.986,280.986
ebb7934d2,MIMOSA,experiment_2.2,CHN,5,5,with,cba,low,Emissions|CO2,Mt CO2/yr,,,11391.3,8543.49,7210.97,6784.14,6281.36,5766.24,5247.12,4727.25,4215.66,3717.77,3240.68,2797.11,2417.05,2123.74,1914.52,1776.3,1672.41,1613.42,1613.42,1613.42,1613.42,1613.42,1613.42,1613.42,1613.42,1613.42,1613.42
ebb7934d2,MIMOSA,experiment_2.2,EAF,5,5,with,cba,low,Emissions|CO2,Mt CO2/yr,,,283.526,388.951,488.296,494.907,456.751,429.642,420.623,427.244,454.705,509.295,598.018,723.908,879.002,1048.33,1197.11,1302.95,1390.75,1878.78,1878.78,1878.78,1878.78,1878.78,1878.78,1878.78,1878.78,1878.78,1878.78
ebb7934d2,MIMOSA,experiment_2.2,INDIA,5,5,with,cba,low,Emissions|CO2,Mt CO2/yr,,,2777.19,2620.82,2962.85,3221.17,3487.57,3839.62,4218.89,4560.5,4865.47,5134.07,5315.03,5376.56,5375.5,5364.27,5326.95,5249.07,5169.34,5693.86,5693.86,5693.85,5693.85,5693.85,5693.85,5693.85,5693.85,5693.85,5693.85
ebb7934d2,MIMOSA,experiment_2.2,INDO,5,5,with,cba,low,Emissions|CO2,Mt CO2/yr,,,1635.06,1264.21,1250.38,1246.85,1219.23,1146.63,1074.5,1042.09,1033.24,1024.24,1000.19,956.027,910.099,878.343,856.11,836.84,820.841,906.423,906.423,906.422,906.422,906.422,906.422,906.422,906.422,906.422,906.422
ebb7934d2,MIMOSA,experiment_2.2,JAP,5,5,with,cba,low,Emissions|CO2,Mt CO2/yr,,,1064.62,798.468,532.312,465.122,442.396,426.927,415.555,405.428,391.981,371.942,347.135,320.852,297.9,281.556,269.58,259.332,250.4,268.807,268.807,268.806,268.806,268.806,268.806,268.806,268.806,268.806,268.806
ebb7934d2,MIMOSA,experiment_2.2,KOR,5,5,with,cba,low,Emissions|CO2,Mt CO2/yr,,,784.572,588.429,492.41,464.486,430.818,399.097,369.5,341.002,313.683,287.535,261.676,235.762,211.833,191.986,177.121,167.214,159.746,152.962,152.939,152.938,152.937,152.937,152.937,152.937,152.937,152.937,152.936
ebb7934d2,MIMOSA,experiment_2.2,ME,5,5,with,cba,low,Emissions|CO2,Mt CO2/yr,,,2006.27,1540.72,1569.24,1645.0,1729.51,1790.2,1844.46,1910.46,1972.09,2011.5,2032.19,2044.54,2065.81,2107.15,2153.3,2189.88,2226.27,2606.19,2606.19,2606.19,2606.19,2606.19,2606.19,2606.19,2606.19,2606.19,2606.19
ebb7934d2,MIMOSA,experiment_2.2,MEX,5,5,with,cba,low,Emissions|CO2,Mt CO2/yr,,,572.878,429.658,381.636,396.907,408.585,403.989,393.121,386.95,385.478,385.692,382.155,371.428,356.813,342.647,333.028,330.288,331.691,426.365,426.364,426.364,426.364,426.364,426.364,426.364,426.364,426.364,426.364
